SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
160,adobe_experience-platform-streaming-connect,gha_to_travis,zero-shot,mistral_7b,0.386658,0.060153
161,tonivade_zeromock,travis_to_gha,zero-shot,gemma3_12b,0.735528,0.447675
162,tonivade_zeromock,travis_to_gha,zero-shot,llama3_1_8b,0.665267,0.387244
163,tonivade_zeromock,travis_to_gha,zero-shot,gpt-4o,0.734427,0.394615
164,tonivade_zeromock,travis_to_gha,zero-shot,mistral_7b,0.649646,0.293726
165,tonivade_zeromock,gha_to_travis,zero-shot,gemma3_12b,0.28957,0.120821
166,tonivade_zeromock,gha_to_travis,zero-shot,llama3_1_8b,0.400501,0.196636
167,tonivade_zeromock,gha_to_travis,zero-shot,gpt-4o,0.512348,0.2473
168,tonivade_zeromock,gha_to_travis,zero-shot,mistral_7b,0.39123,0.16274
169,societe-generale_arch-unit-build-plugin-core,travis_to_gha,zero-shot,gemma3_12b,0.68844,0.172677
170,societe-generale_arch-unit-build-plugin-core,travis_to_gha,zero-shot,llama3_1_8b,0.589623,0.149208
171,societe-generale_arch-unit-build-plugin-core,travis_to_gha,zero-shot,gpt-4o,0.608419,0.180724
172,societe-generale_arch-unit-build-plugin-core,travis_to_gha,zero-shot,mistral_7b,0.621219,0.176694
173,societe-generale_arch-unit-build-plugin-core,gha_to_travis,zero-shot,gemma3_12b,0.316072,0.106687
174,societe-generale_arch-unit-build-plugin-core,gha_to_travis,zero-shot,llama3_1_8b,0.30114,0.101352
175,societe-generale_arch-unit-build-plugin-core,gha_to_travis,zero-shot,gpt-4o,0.351606,0.087073
176,societe-generale_arch-unit-build-plugin-core,gha_to_travis,zero-shot,mistral_7b,0.199776,0.097002
177,redhat-developer_quarkus-ls,travis_to_gha,zero-shot,gemma3_12b,0.686666,0.372547
178,redhat-developer_quarkus-ls,travis_to_gha,zero-shot,llama3_1_8b,0.75499,0.425497
179,redhat-developer_quarkus-ls,travis_to_gha,zero-shot,gpt-4o,0.735215,0.443433
180,redhat-developer_quarkus-ls,travis_to_gha,zero-shot,mistral_7b,0.659558,0.393726
181,redhat-developer_quarkus-ls,gha_to_travis,zero-shot,gemma3_12b,0.642905,0.291992
182,redhat-developer_quarkus-ls,gha_to_travis,zero-shot,llama3_1_8b,0.606933,0.28677
