lines,jobs,steps,matrix,services,container,workflow_call,reusable_local_action,permissions,secrets_refs,env_refs,github_token_refs,concurrency,needs,if_conditions,caches,deployments,cron_schedule,workflow_dispatch,top_level_env,project,fold,cosine,bleu
30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NetLogo_Matrix-Extension,Set_90_10_V_05,0.86,0.61
33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hmcts_ccpay-payment-app,Set_90_10_V_02,0.87,0.81
19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,msmobility_silo,Set_90_10_V_08,0.87,0.89
49,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,parse-community_Parse-SDK-Android,Set_90_10_V_08,0.87,0.69
31,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,feedzai_feedzai-openml,Set_90_10_V_03,0.88,0.51
22,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,io7m_jproperties,Set_90_10_V_04,0.88,0.88
19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,anand1st_sshd-shell-spring-boot,Set_90_10_V_05,0.88,0.73
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tdebatty_java-string-similarity,Set_90_10_V_05,0.88,0.8
56,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,gotify_android,Set_90_10_V_06,0.88,0.8
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JetBrains_jediterm,Set_90_10_V_07,0.88,0.67
22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,qlefevre_crud-admin-spring-boot-starter,Set_90_10_V_08,0.88,0.68
36,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,CST-Group_cst,Set_90_10_V_02,0.89,0.84
47,1,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,PepperLola_playerinfo,Set_90_10_V_03,0.89,0.82
26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,splitio_android-client,Set_90_10_V_04,0.89,0.65
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandec_JMemoryBuddy,Set_90_10_V_10,0.89,0.71
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,michaelliao_itranswarp,Set_90_10_V_04,0.9,0.77
31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,imglib_imglib2,Set_90_10_V_07,0.9,0.48
39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OSGeo_PROJ-JNI,Set_90_10_V_10,0.9,0.8
25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,elixir-cloud-aai_tesk-api,Set_90_10_V_02,0.91,0.85
33,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pi4J_pi4j-v2,Set_90_10_V_07,0.91,0.85
30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,AxonIQ_axonserver-connector-java,Set_90_10_V_08,0.91,0.77
32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,line_decaton,Set_90_10_V_09,0.91,0.88
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul2708_simple-commands,Set_90_10_V_01,0.92,0.83
36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,nsoft_jesterj,Set_90_10_V_03,0.92,0.86
30,1,1,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,anastaciocintra_escpos-coffee,Set_90_10_V_06,0.92,0.87
40,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,redhat-developer_quarkus-ls,Set_90_10_V_06,0.92,0.86
22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,miho_VTCC,Set_90_10_V_07,0.92,0.76
24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neo4j-contrib_neo4j-jdbc,Set_90_10_V_08,0.92,0.8
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,billthefarmer_currency,Set_90_10_V_09,0.92,0.75
18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sizovs_PipelinR,Set_90_10_V_01,0.93,0.85
33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gessnerfl_rabbitmq-queue-management,Set_90_10_V_02,0.93,0.84
47,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,OpenLiberty_guide-cloud-azure,Set_90_10_V_03,0.93,0.86
31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TrNdy_mastodon-tracking,Set_90_10_V_03,0.93,0.88
25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gayanvoice_android-vpn-client-ics-openvpn,Set_90_10_V_04,0.93,0.17
22,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,io7m_jsx,Set_90_10_V_04,0.93,0.91
24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dogtagpki_jss,Set_90_10_V_05,0.93,0.73
22,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jakubplichta_git-changelog-maven-plugin,Set_90_10_V_08,0.94,0.83
29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reaktivity_nukleus-maven-plugin,Set_90_10_V_03,0.95,0.89
29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reaktivity_nukleus-tcp.spec,Set_90_10_V_03,0.95,0.89
29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reaktivity_nukleus-http.java,Set_90_10_V_08,0.95,0.89
39,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wcm-io-devops_conga-sling-plugin,Set_90_10_V_09,0.95,0.82
